"run","stopAt","numStations","probNew","probPerturbationDrop","packetSize","transmissionSpeed","numRelays","minNumRelays","randomSeed","maxNumRelays","probCrash","protocolVersion"
73,500,1,5,0,200,100,3,1,123456,5,5,"RecoveringLoss"
75,500,1,5,0,200,100,3,1,123456,5,5,"RecoveringLoss"
77,500,1,5,0,200,100,3,1,123456,5,5,"RecoveringLoss"
79,500,1,5,0,200,100,3,1,123456,5,5,"RecoveringLoss"
81,500,1,5,0,200,100,3,1,123456,5,5,"RecoveringLoss"
83,500,1,5,0,200,100,3,1,123456,5,5,"RecoveringLoss"
85,500,1,5,0,200,100,3,1,123456,5,5,"RecoveringLoss"
87,500,1,5,0,200,100,3,1,123456,5,5,"RecoveringLoss"
89,500,1,5,0,200,100,3,1,123456,5,5,"RecoveringLoss"
91,500,1,5,0,200,100,3,1,123456,5,5,"RecoveringLoss"
93,500,1,5,0,200,100,3,1,123456,5,5,"RecoveringLoss"
95,500,1,5,0,200,100,3,1,123456,5,5,"RecoveringLoss"
97,500,1,5,0,200,100,3,1,123456,5,5,"RecoveringLoss"
99,500,1,5,0,200,100,3,1,123456,5,5,"RecoveringLoss"
