"run","stopAt","numStations","probNew","probPerturbationDrop","packetSize","transmissionSpeed","numRelays","minNumRelays","randomSeed","maxNumRelays","probCrash","protocolVersion"
2,500,1,0,0,100,100,3,1,123456,5,0,"DynamicNetwork"
4,500,1,0,0,100,100,3,1,123456,5,0,"DynamicNetwork"
6,500,1,0,0,100,100,3,1,123456,5,0,"DynamicNetwork"
8,500,1,0,0,100,100,3,1,123456,5,0,"DynamicNetwork"
10,500,1,0,0,100,100,3,1,123456,5,0,"DynamicNetwork"
12,500,1,0,0,100,100,3,1,123456,5,0,"DynamicNetwork"
14,500,1,0,0,100,100,3,1,123456,5,0,"DynamicNetwork"
16,500,1,0,0,100,100,3,1,123456,5,0,"DynamicNetwork"
18,500,1,0,0,100,100,3,1,123456,5,0,"DynamicNetwork"
20,500,1,0,0,100,100,3,1,123456,5,0,"DynamicNetwork"
22,500,1,0,0,100,100,3,1,123456,5,0,"DynamicNetwork"
24,500,1,0,0,100,100,3,1,123456,5,0,"DynamicNetwork"
26,500,1,0,0,100,100,3,1,123456,5,0,"DynamicNetwork"
28,500,1,0,0,100,100,3,1,123456,5,0,"DynamicNetwork"
30,500,1,0,0,100,100,3,1,123456,5,0,"DynamicNetwork"
32,500,1,0,0,100,100,3,1,123456,5,0,"DynamicNetwork"
34,500,1,0,0,100,100,3,1,123456,5,0,"DynamicNetwork"
36,500,1,0,0,100,100,3,1,123456,5,0,"DynamicNetwork"
38,500,1,0,0,100,100,3,1,123456,5,0,"DynamicNetwork"
40,500,1,0,0,100,100,3,1,123456,5,0,"DynamicNetwork"
42,500,1,0,0,100,100,3,1,123456,5,0,"DynamicNetwork"
44,500,1,0,0,100,100,3,1,123456,5,0,"DynamicNetwork"
46,500,1,0,0,100,100,3,1,123456,5,0,"DynamicNetwork"
48,500,1,0,0,100,100,3,1,123456,5,0,"DynamicNetwork"
50,500,1,0,0,100,100,3,1,123456,5,0,"DynamicNetwork"
52,500,1,0,0,100,100,3,1,123456,5,0,"DynamicNetwork"
54,500,1,0,0,100,100,3,1,123456,5,0,"DynamicNetwork"
56,500,1,0,0,100,100,3,1,123456,5,0,"DynamicNetwork"
58,500,1,0,0,100,100,3,1,123456,5,0,"DynamicNetwork"
60,500,1,0,0,100,100,3,1,123456,5,0,"DynamicNetwork"
62,500,1,0,0,100,100,3,1,123456,5,0,"DynamicNetwork"
64,500,1,0,0,100,100,3,1,123456,5,0,"DynamicNetwork"
66,500,1,0,0,100,100,3,1,123456,5,0,"DynamicNetwork"
68,500,1,0,0,100,100,3,1,123456,5,0,"DynamicNetwork"
70,500,1,0,0,100,100,3,1,123456,5,0,"DynamicNetwork"
72,500,1,0,0,100,100,3,1,123456,5,0,"DynamicNetwork"
