Scenario,Perturbation,Latency,Count,Tick
PerfectConditions,"('station2', 4)",41.2707439699284,50.08,443.56
PerfectConditions,"('station2', 5)",41.25531894204491,50.16,543.56
PerfectConditions,"('station2', 6)",41.209521203374955,50.08,643.56
PerfectConditions,"('station2', 7)",41.196493197093815,50.08,743.56
PerfectConditions,"('station2', 8)",41.123661459597,50.08,843.56
PerfectConditions,"('station2', 9)",41.26102867516892,50.04,943.56
PerfectConditions,"('station2', 10)",41.144964818005754,50.08,1043.56
PerfectConditions,"('station2', 11)",41.359828419178115,50,1143.56
PerfectConditions,"('station2', 12)",41.195518432053674,49.96,1243.56
PerfectConditions,"('station2', 13)",40.90536136385813,49.92,1343.56
PerfectConditions,"('station2', 14)",41.0029750021748,49.92,1443.56
PerfectConditions,"('station2', 15)",41.3798132178624,49.76,1543.56
PerfectConditions,"('station2', 16)",41.41771019217809,49.84,1643.56
PerfectConditions,"('station2', 17)",41.27957474778528,50,1743.56
PerfectConditions,"('station2', 18)",41.40125037521541,50.08,1843.56
PerfectConditions,"('station2', 19)",31.33502430475515,36.2,1943.56
PerfectConditions,"('station4', 0)",42.57799663865546,50.04,39.24
PerfectConditions,"('station4', 1)",43.211509443777516,50.04,139.16
PerfectConditions,"('station4', 2)",43.050712124849944,50.16,239.16
PerfectConditions,"('station4', 3)",42.59750448179271,50.08,339.16
PerfectConditions,"('station4', 4)",42.83605584446544,50.08,439.16
PerfectConditions,"('station4', 5)",42.92613750947187,50.16,539.16
PerfectConditions,"('station4', 6)",42.977864247826794,50.08,639.16
PerfectConditions,"('station4', 7)",43.26959820538761,50.04,739.16
PerfectConditions,"('station4', 8)",42.687173807998974,50.08,839.16
PerfectConditions,"('station4', 9)",42.76030920833145,49.92,939.16
PerfectConditions,"('station4', 10)",42.82221293807211,50.08,1039.16
PerfectConditions,"('station4', 11)",42.74838430473875,49.96,1139.16
PerfectConditions,"('station4', 12)",42.48702057471961,50,1239.16
PerfectConditions,"('station4', 13)",42.71633376457963,49.92,1339.16
PerfectConditions,"('station4', 14)",42.696102875397635,49.88,1439.16
PerfectConditions,"('station4', 15)",43.01741587105974,49.84,1539.16
PerfectConditions,"('station4', 16)",42.93350788557711,49.92,1639.16
PerfectConditions,"('station4', 17)",43.133319880378906,49.96,1739.16
PerfectConditions,"('station4', 18)",43.19938224431527,50.04,1839.16
PerfectConditions,"('station4', 19)",31.738886012500515,34.72,1939.16
PerfectConditions,"('station3', 0)",37.46109739895958,50.08,56.36
PerfectConditions,"('station3', 1)",37.67313133253301,50.12,156.36
PerfectConditions,"('station3', 2)",37.761563505402165,50.08,256.36
PerfectConditions,"('station3', 3)",37.65333541416566,50.12,356.36
PerfectConditions,"('station3', 4)",37.85522521008403,50.12,456.36
PerfectConditions,"('station3', 5)",37.52231076345432,50.16,556.36
PerfectConditions,"('station3', 6)",37.653785572101185,50.16,656.36
PerfectConditions,"('station3', 7)",37.708240318462835,50.12,756.36
PerfectConditions,"('station3', 8)",37.65898766521196,50,856.36
PerfectConditions,"('station3', 9)",37.722110666721676,50,956.36
PerfectConditions,"('station3', 10)",37.85308359572959,50.08,1056.36
PerfectConditions,"('station3', 11)",37.59870501179053,49.96,1156.36
PerfectConditions,"('station3', 12)",37.66145357205003,49.92,1256.36
PerfectConditions,"('station3', 13)",37.59541105464316,49.96,1356.36
PerfectConditions,"('station3', 14)",37.70645069010884,49.8,1456.36
PerfectConditions,"('station3', 15)",37.6577922260644,49.84,1556.36
PerfectConditions,"('station3', 16)",37.976153918488635,49.96,1656.36
PerfectConditions,"('station3', 17)",37.94909160760285,49.96,1756.36
PerfectConditions,"('station3', 18)",37.85049101014377,50.04,1856.36
PerfectConditions,"('station3', 19)",23.3833961342187,27.84,1956.36
PerfectConditions,"('station1', 0)",26.93284257703081,50.04,45.72
PerfectConditions,"('station1', 1)",26.883449699879954,50.08,145.68
PerfectConditions,"('station1', 2)",26.96180616246498,50.16,245.68
PerfectConditions,"('station1', 3)",26.96146742697078,50.04,345.68
PerfectConditions,"('station1', 4)",27.180101745378998,50.08,445.68
PerfectConditions,"('station1', 5)",27.03397952287297,50.16,545.68
PerfectConditions,"('station1', 6)",26.989358059819676,50.08,645.68
PerfectConditions,"('station1', 7)",27.071954060667885,50.12,745.68
PerfectConditions,"('station1', 8)",27.154291423456165,50.04,845.68
PerfectConditions,"('station1', 9)",26.641890641886874,49.88,945.68
PerfectConditions,"('station1', 10)",27.055803968199406,50.08,1045.68
PerfectConditions,"('station1', 11)",26.961978334076093,50.04,1145.68
PerfectConditions,"('station1', 12)",26.833260575844925,50,1245.68
PerfectConditions,"('station1', 13)",26.899835472402856,50.04,1345.68
PerfectConditions,"('station1', 14)",26.88812046490837,49.88,1445.68
PerfectConditions,"('station1', 15)",26.927483593333847,49.8,1545.68
PerfectConditions,"('station1', 16)",27.400934406479045,49.92,1645.68
PerfectConditions,"('station1', 17)",27.222698007458604,49.96,1745.68
PerfectConditions,"('station1', 18)",27.240541924074904,50.08,1845.68
PerfectConditions,"('station1', 19)",21.237968480511537,37.44,1945.68
PerfectConditions,"('station0', 0)",33.94060280112045,50.04,46.2
PerfectConditions,"('station0', 1)",33.898928531412565,50.04,146.2
PerfectConditions,"('station0', 2)",34.10988459383754,50.08,246.2
PerfectConditions,"('station0', 3)",33.7308386954782,50,346.2
PerfectConditions,"('station0', 4)",34.09071081113296,50.08,446.2
PerfectConditions,"('station0', 5)",34.04341219721931,50.16,546.2
PerfectConditions,"('station0', 6)",33.954128086017015,50.04,646.2
PerfectConditions,"('station0', 7)",33.84698847028173,50.08,746.2
PerfectConditions,"('station0', 8)",34.22331910230542,50.08,846.2
PerfectConditions,"('station0', 9)",33.91576160434713,49.96,946.2
PerfectConditions,"('station0', 10)",33.93769039478311,50.08,1046.2
PerfectConditions,"('station0', 11)",33.77378959274595,49.96,1146.2
PerfectConditions,"('station0', 12)",34.139037818816426,49.92,1246.2
PerfectConditions,"('station0', 13)",34.0590785870201,49.92,1346.2
PerfectConditions,"('station0', 14)",33.930082071892286,49.88,1446.2
PerfectConditions,"('station0', 15)",34.076412540547224,49.8,1546.2
PerfectConditions,"('station0', 16)",34.29751069995853,49.96,1646.2
PerfectConditions,"('station0', 17)",34.117839496921164,49.88,1746.2
PerfectConditions,"('station0', 18)",34.080165371499355,50.08,1846.2
PerfectConditions,"('station0', 19)",25.714750879145914,36.72,1946.2
PerfectConditions,"('station1', 20)",0,0,2000.0
PerfectConditions,"('station4', 20)",0,0,2000.0
RecoveringLoss,"('station2', 0)",90.79199896595368,52.04,44.88
RecoveringLoss,"('station2', 1)",97.77986511347,51.96,144.88
RecoveringLoss,"('station2', 2)",112.33704108636051,51.84,244.88
RecoveringLoss,"('station2', 3)",84.22215261105895,50.32,344.88
RecoveringLoss,"('station2', 4)",48.14066254161239,49.12,444.88
RecoveringLoss,"('station2', 5)",48.02226351236145,49.12,544.88
RecoveringLoss,"('station2', 6)",48.03388211934313,49.24,644.88
RecoveringLoss,"('station2', 7)",47.96542312035893,49.24,744.88
RecoveringLoss,"('station2', 8)",47.80950475301199,49.24,844.88
RecoveringLoss,"('station2', 9)",47.906096830930736,49.24,944.88
RecoveringLoss,"('station2', 10)",47.97836409783751,49.08,1044.88
RecoveringLoss,"('station2', 11)",48.059607476039844,49,1144.88
RecoveringLoss,"('station2', 12)",47.87794953482453,48.84,1244.88
RecoveringLoss,"('station2', 13)",47.9417552359986,49.08,1344.88
RecoveringLoss,"('station2', 14)",48.17016975414629,49.08,1444.88
RecoveringLoss,"('station2', 15)",48.163160910608866,49.16,1544.88
RecoveringLoss,"('station2', 16)",48.040971896541706,49.28,1644.88
RecoveringLoss,"('station2', 17)",47.99446227141506,49.2,1744.88
RecoveringLoss,"('station2', 18)",48.068711931279005,49.28,1844.88
RecoveringLoss,"('station2', 19)",30.03938861536212,29.16,1944.88
RecoveringLoss,"('station4', 0)",94.10510934508004,52,45.92
RecoveringLoss,"('station4', 1)",111.30613156822213,51.96,145.92
RecoveringLoss,"('station4', 2)",133.9232547289834,51.84,245.92
RecoveringLoss,"('station4', 3)",101.45841536434602,49.88,345.92
RecoveringLoss,"('station4', 4)",49.038190594498666,48.12,445.92
RecoveringLoss,"('station4', 5)",49.0767470570837,48.16,545.92
RecoveringLoss,"('station4', 6)",49.082349374916056,48.2,645.92
RecoveringLoss,"('station4', 7)",48.86666565430983,48.28,745.92
RecoveringLoss,"('station4', 8)",48.873013172040324,48.2,845.92
RecoveringLoss,"('station4', 9)",48.84168665245932,48.16,945.92
RecoveringLoss,"('station4', 10)",48.9533648982257,48.04,1045.92
RecoveringLoss,"('station4', 11)",48.98002853586699,47.92,1145.92
RecoveringLoss,"('station4', 12)",48.907918667411444,47.88,1245.92
RecoveringLoss,"('station4', 13)",48.94535412657978,48.12,1345.92
RecoveringLoss,"('station4', 14)",48.92500947215926,48.16,1445.92
RecoveringLoss,"('station4', 15)",49.051414523541524,48.2,1545.92
RecoveringLoss,"('station4', 16)",49.103926820375165,48.24,1645.92
RecoveringLoss,"('station4', 17)",49.026431508651946,48.16,1745.92
RecoveringLoss,"('station4', 18)",49.03549657815802,48.32,1845.92
RecoveringLoss,"('station4', 19)",29.04500371288843,26.52,1945.92
RecoveringLoss,"('station3', 0)",86.45999142947734,52.04,49.2
RecoveringLoss,"('station3', 1)",94.26028138558527,52,149.2
RecoveringLoss,"('station3', 2)",109.26547708405377,51.92,249.2
RecoveringLoss,"('station3', 3)",88.02906086537179,50.68,349.2
RecoveringLoss,"('station3', 4)",43.585886655938985,49.08,449.2
RecoveringLoss,"('station3', 5)",43.69538593565087,49.24,549.2
RecoveringLoss,"('station3', 6)",43.503570335077754,49.24,649.2
RecoveringLoss,"('station3', 7)",43.72339216641899,49.24,749.2
RecoveringLoss,"('station3', 8)",43.42788196233735,49.24,849.2
RecoveringLoss,"('station3', 9)",43.54410982306643,49.2,949.2
RecoveringLoss,"('station3', 10)",43.855600776043346,49,1049.2
RecoveringLoss,"('station3', 11)",43.81587174900238,48.92,1149.2
RecoveringLoss,"('station3', 12)",43.78398538916704,48.92,1249.2
RecoveringLoss,"('station3', 13)",43.723931023776125,48.92,1349.2
RecoveringLoss,"('station3', 14)",43.68691657171134,49.24,1449.2
RecoveringLoss,"('station3', 15)",43.72980954684774,49.16,1549.2
RecoveringLoss,"('station3', 16)",43.782642880181065,49.24,1649.2
RecoveringLoss,"('station3', 17)",43.489921176114834,49.32,1749.2
RecoveringLoss,"('station3', 18)",43.51270757067265,49.28,1849.2
RecoveringLoss,"('station3', 19)",25.85752232146616,28.2,1949.2
RecoveringLoss,"('station1', 0)",63.86571335576086,51.88,34.12
RecoveringLoss,"('station1', 1)",67.82412527253237,52,134.12
RecoveringLoss,"('station1', 2)",66.6714255404151,51.76,234.12
RecoveringLoss,"('station1', 3)",67.87586434669453,51.48,334.12
RecoveringLoss,"('station1', 4)",29.064647539015592,50,434.12
RecoveringLoss,"('station1', 5)",28.972632456059337,50.12,534.12
RecoveringLoss,"('station1', 6)",28.752609365317312,50.2,634.12
RecoveringLoss,"('station1', 7)",28.83475562702985,50.24,734.12
RecoveringLoss,"('station1', 8)",29.068073274088675,50.28,834.12
RecoveringLoss,"('station1', 9)",28.878022972265832,50.2,934.12
RecoveringLoss,"('station1', 10)",29.121641557167933,50.08,1034.12
RecoveringLoss,"('station1', 11)",28.847600100585286,49.92,1134.12
RecoveringLoss,"('station1', 12)",29.0079629012211,49.96,1234.12
RecoveringLoss,"('station1', 13)",29.00856386160526,50,1334.12
RecoveringLoss,"('station1', 14)",28.94432734791665,50.24,1434.12
RecoveringLoss,"('station1', 15)",28.970282755611642,50.12,1534.12
RecoveringLoss,"('station1', 16)",28.875020813389174,50.28,1634.12
RecoveringLoss,"('station1', 17)",29.16131100946761,50.32,1734.12
RecoveringLoss,"('station1', 18)",28.953923654525642,50.28,1834.12
RecoveringLoss,"('station1', 19)",25.496429397374204,43.68,1934.12
RecoveringLoss,"('station0', 0)",79.16234411527553,52.04,40.16
RecoveringLoss,"('station0', 1)",77.8356328575605,52,140.16
RecoveringLoss,"('station0', 2)",81.2747004662867,51.92,240.16
RecoveringLoss,"('station0', 3)",84.30890401684357,51.72,340.16
