Scenario,Perturbation,Latency,Count,Tick
DynamicNetwork,"('station0', 0)",36.20906602641056,50.08,48.8
DynamicNetwork,"('station0', 1)",36.497552941176465,50.08,148.8
DynamicNetwork,"('station0', 2)",36.32865402160864,50.08,248.8
DynamicNetwork,"('station0', 3)",36.42914893957583,50.12,348.8
DynamicNetwork,"('station0', 4)",36.384528851540615,49.92,448.8
DynamicNetwork,"('station0', 5)",36.3019850938084,49.68,548.8
DynamicNetwork,"('station0', 6)",36.37041514091725,49.72,648.8
DynamicNetwork,"('station0', 7)",36.622162022583176,49.76,748.8
DynamicNetwork,"('station0', 8)",36.37383087814503,49.76,848.8
DynamicNetwork,"('station0', 9)",36.348978405633936,49.64,948.8
DynamicNetwork,"('station0', 10)",36.52237205651491,49.88,1048.8
DynamicNetwork,"('station0', 11)",36.45168458669884,49.92,1148.8
DynamicNetwork,"('station0', 12)",36.3801723850977,49.92,1248.8
DynamicNetwork,"('station0', 13)",36.11147362561117,49.8,1348.8
DynamicNetwork,"('station0', 14)",36.477040867001776,50,1448.8
DynamicNetwork,"('station0', 15)",36.319203241664766,50.04,1548.8
DynamicNetwork,"('station0', 16)",36.31121493448444,49.96,1648.8
DynamicNetwork,"('station0', 17)",36.49979757995406,50.04,1748.8
DynamicNetwork,"('station0', 18)",36.3488781671159,50.04,1848.8
DynamicNetwork,"('station0', 19)",24.487537293644035,33.04,1948.8
PerfectConditions,"('station0', 0)",36.27999317880999,50.2,47.84
PerfectConditions,"('station0', 1)",36.23042847908394,50.2,147.84
PerfectConditions,"('station0', 2)",36.55179430541447,50.28,247.84
PerfectConditions,"('station0', 3)",36.291042854064706,50.2,347.84
PerfectConditions,"('station0', 4)",36.20950321051498,50.24,447.84
PerfectConditions,"('station0', 5)",36.24417139163358,50.32,547.84
PerfectConditions,"('station0', 6)",36.12982838673931,50.28,647.84
PerfectConditions,"('station0', 7)",36.221842099916906,50.24,747.84
PerfectConditions,"('station0', 8)",36.0770963400745,50.08,847.84
PerfectConditions,"('station0', 9)",36.28300646412411,50.08,947.84
PerfectConditions,"('station0', 10)",36.423454397339974,50,1047.84
PerfectConditions,"('station0', 11)",36.31216853432044,50.04,1147.84
PerfectConditions,"('station0', 12)",36.20115744740535,50.08,1247.84
PerfectConditions,"('station0', 13)",36.48842469179007,50.24,1347.84
PerfectConditions,"('station0', 14)",36.17381803328255,50.28,1447.84
PerfectConditions,"('station0', 15)",36.068823933040456,50.16,1547.84
PerfectConditions,"('station0', 16)",36.488637428508156,50.2,1647.84
PerfectConditions,"('station0', 17)",35.98582449352404,50.28,1747.84
PerfectConditions,"('station0', 18)",35.99756809022626,50.16,1847.84
PerfectConditions,"('station0', 19)",26.09904930998937,35.52,1947.84
Point2Point,"('station0', 0)",39.04,1,47.08
Point2Point,"('station0', 1)",43.92,1,147.08
Point2Point,"('station0', 2)",34.8,1,247.08
Point2Point,"('station0', 3)",50.16,1,347.08
Point2Point,"('station0', 4)",37.4,1,447.08
Point2Point,"('station0', 5)",45.16,1,547.08
Point2Point,"('station0', 6)",41.28,1,647.08
Point2Point,"('station0', 7)",34.08,1,747.08
Point2Point,"('station0', 8)",43.92,1,847.08
Point2Point,"('station0', 9)",43.76,1,947.08
Point2Point,"('station0', 10)",46.16,1,1047.08
Point2Point,"('station0', 11)",45.96,1,1147.08
Point2Point,"('station0', 12)",38.28,1,1247.08
Point2Point,"('station0', 13)",32.88,1,1347.08
Point2Point,"('station0', 14)",40.56,1,1447.08
Point2Point,"('station0', 15)",37.72,1,1547.08
Point2Point,"('station0', 16)",40.48,1,1647.08
Point2Point,"('station0', 17)",34.56,1,1747.08
Point2Point,"('station0', 18)",41.84,1,1847.08
Point2Point,"('station0', 19)",18.76,0.48,1947.08
PrivacyPreserving,"('station0', 0)",43.2,1,59.12
PrivacyPreserving,"('station0', 1)",33.68,1,159.12
PrivacyPreserving,"('station0', 2)",42.84,1,259.12
PrivacyPreserving,"('station0', 3)",32.76,1,359.12
PrivacyPreserving,"('station0', 4)",38.6,1,459.12
PrivacyPreserving,"('station0', 5)",44.08,1,559.12
PrivacyPreserving,"('station0', 6)",40.36,1,659.12
PrivacyPreserving,"('station0', 7)",44.4,1,759.12
PrivacyPreserving,"('station0', 8)",35.68,1,859.12
