Scenario,Perturbation,Latency,Count,Tick
GroupCommunication,"('station0', 0)",57.12696134120438,16.08,47.04
GroupCommunication,"('station0', 1)",52.05000984107351,17.56,146.96
GroupCommunication,"('station0', 2)",53.31428346507294,16.8,246.96
GroupCommunication,"('station0', 3)",40.81848088581525,17.76,346.96
GroupCommunication,"('station0', 4)",51.46742947546912,17.52,446.96
GroupCommunication,"('station0', 5)",48.655984054545435,17.56,546.96
GroupCommunication,"('station0', 6)",54.90845918529355,15.88,646.96
GroupCommunication,"('station0', 7)",44.175779524397164,18.12,746.96
GroupCommunication,"('station0', 8)",42.000089902014054,17.44,846.96
GroupCommunication,"('station0', 9)",41.00071591841253,16.76,946.96
GroupCommunication,"('station0', 10)",41.53920142502834,16.92,1046.96
GroupCommunication,"('station0', 11)",37.74803115872777,16.76,1146.96
GroupCommunication,"('station0', 12)",38.02834228648814,18,1246.96
GroupCommunication,"('station0', 13)",39.7370048559,17.16,1346.96
GroupCommunication,"('station0', 14)",39.032208645668504,18.16,1446.96
GroupCommunication,"('station0', 15)",38.6463070026846,18.72,1546.96
GroupCommunication,"('station0', 16)",37.77811737381687,17.44,1646.96
GroupCommunication,"('station0', 17)",37.68801531560976,16.76,1746.96
GroupCommunication,"('station0', 18)",39.23371662066867,16.24,1846.96
GroupCommunication,"('station0', 19)",24.065640633532276,10.72,1946.96
GroupCommunication,"('station0', 20)",0,0,2000.0
Point2Point,"('station0', 0)",29.84,1,49.6
Point2Point,"('station0', 1)",34.12,1,149.56
Point2Point,"('station0', 2)",37.64,1,249.56
Point2Point,"('station0', 3)",43.12,1,349.56
Point2Point,"('station0', 4)",50.0,1,449.56
Point2Point,"('station0', 5)",37.52,1,549.56
Point2Point,"('station0', 6)",40.88,1,649.56
Point2Point,"('station0', 7)",39.04,1,749.56
Point2Point,"('station0', 8)",39.04,1,849.56
Point2Point,"('station0', 9)",37.24,1,949.56
Point2Point,"('station0', 10)",35.16,1,1049.56
Point2Point,"('station0', 11)",49.96,1,1149.56
Point2Point,"('station0', 12)",34.4,1,1249.56
Point2Point,"('station0', 13)",35.12,1,1349.56
Point2Point,"('station0', 14)",41.68,1,1449.56
