Scenario,Perturbation,Latency,Count,Tick
PerfectConditions,"('station0', 0)",34.86346698679472,50.08,41.08
PerfectConditions,"('station0', 1)",34.68620245636716,50.12,141.04
PerfectConditions,"('station0', 2)",34.6925273596231,50.12,241.04
PerfectConditions,"('station0', 3)",34.70842485394738,50.12,341.04
PerfectConditions,"('station0', 4)",34.67384526513072,50.04,441.04
PerfectConditions,"('station0', 5)",34.8158393929415,50.04,541.04
PerfectConditions,"('station0', 6)",34.820480635331045,49.92,641.04
PerfectConditions,"('station0', 7)",34.77280538677009,49.8,741.04
PerfectConditions,"('station0', 8)",34.720181897374324,49.8,841.04
PerfectConditions,"('station0', 9)",34.6683893280389,49.8,941.04
PerfectConditions,"('station0', 10)",34.675396801797625,49.72,1041.04
PerfectConditions,"('station0', 11)",34.74192276910763,49.6,1141.04
PerfectConditions,"('station0', 12)",34.77026927694156,49.64,1241.04
PerfectConditions,"('station0', 13)",35.03096395789086,49.8,1341.04
PerfectConditions,"('station0', 14)",35.12864789387453,49.88,1441.04
PerfectConditions,"('station0', 15)",34.872699854165184,49.76,1541.04
PerfectConditions,"('station0', 16)",34.896044457260416,49.76,1641.04
PerfectConditions,"('station0', 17)",35.18763432004928,49.76,1741.04
PerfectConditions,"('station0', 18)",35.01460848519378,49.88,1841.04
PerfectConditions,"('station0', 19)",27.055480293244145,37.56,1941.04
PerfectConditions,"('station0', 20)",0,0,2000.0
DynamicNetwork,"('station0', 0)",34.51500056022409,50.12,54.04
DynamicNetwork,"('station0', 1)",34.602852057746176,50.12,154.04
DynamicNetwork,"('station0', 2)",34.54094569520116,50.08,254.04
DynamicNetwork,"('station0', 3)",34.63327007726167,50.08,354.04
DynamicNetwork,"('station0', 4)",34.588160421091516,50.04,454.04
DynamicNetwork,"('station0', 5)",34.42611437591002,50.16,554.04
DynamicNetwork,"('station0', 6)",34.59346123248237,50.16,654.04
DynamicNetwork,"('station0', 7)",34.606817674495296,50.12,754.04
DynamicNetwork,"('station0', 8)",34.69849860169741,50.24,854.04
DynamicNetwork,"('station0', 9)",34.814504436679414,50.28,954.04
DynamicNetwork,"('station0', 10)",34.725180522170895,50.32,1054.04
DynamicNetwork,"('station0', 11)",34.81709144065274,50.2,1154.04
DynamicNetwork,"('station0', 12)",34.86308216544302,50.24,1254.04
DynamicNetwork,"('station0', 13)",34.770179519235455,50.24,1354.04
DynamicNetwork,"('station0', 14)",34.56400678185185,50.2,1454.04
DynamicNetwork,"('station0', 15)",35.08293100231718,50.36,1554.04
DynamicNetwork,"('station0', 16)",34.628752107921436,50.36,1654.04
DynamicNetwork,"('station0', 17)",34.625413231991196,50.48,1754.04
DynamicNetwork,"('station0', 18)",34.47619785398396,50.4,1854.04
DynamicNetwork,"('station0', 19)",21.545635143378785,30.48,1954.04
Point2Point,"('station0', 0)",38.56,1,49.28
Point2Point,"('station0', 1)",34.72,1,149.28
Point2Point,"('station0', 2)",41.08,1,249.28
Point2Point,"('station0', 3)",33.88,1,349.28
Point2Point,"('station0', 4)",38.08,1,449.28
