Scenario,Perturbation,Latency,Count,Tick
PerfectConditions,"('station1', 0)",26.990949339735895,50,46.4
PerfectConditions,"('station1', 1)",27.15365474189676,50.08,146.4
PerfectConditions,"('station1', 2)",27.030042737094842,50,246.4
PerfectConditions,"('station1', 3)",26.933216437344164,50,346.4
PerfectConditions,"('station1', 4)",26.987641459660793,50,446.4
PerfectConditions,"('station1', 5)",26.95747425431711,49.88,546.4
PerfectConditions,"('station1', 6)",27.29685471648561,49.92,646.4
PerfectConditions,"('station1', 7)",27.123305304838794,49.96,746.4
PerfectConditions,"('station1', 8)",27.143955106439947,50,846.4
PerfectConditions,"('station1', 9)",27.39218387442677,50,946.4
PerfectConditions,"('station1', 10)",27.033221351078456,49.92,1046.4
PerfectConditions,"('station1', 11)",26.97884161237914,49.92,1146.4
PerfectConditions,"('station1', 12)",26.930795181184802,49.72,1246.4
PerfectConditions,"('station1', 13)",27.009554864645015,49.76,1346.4
PerfectConditions,"('station1', 14)",26.972344578363938,49.72,1446.4
PerfectConditions,"('station1', 15)",27.262716615707205,49.76,1546.4
PerfectConditions,"('station1', 16)",27.133771410012624,49.84,1646.4
PerfectConditions,"('station1', 17)",27.08202318560322,49.88,1746.4
PerfectConditions,"('station1', 18)",26.87958987502181,49.84,1846.4
PerfectConditions,"('station1', 19)",22.974214750195426,40.76,1946.4
PerfectConditions,"('station3', 0)",37.68652613045218,50.04,48.08
PerfectConditions,"('station3', 1)",37.62118831532613,50.04,148.08
PerfectConditions,"('station3', 2)",37.4728131252501,50.04,248.08
PerfectConditions,"('station3', 3)",37.73595901129683,50,348.08
PerfectConditions,"('station3', 4)",37.67211003170499,49.96,448.08
PerfectConditions,"('station3', 5)",37.646210782774645,49.84,548.08
PerfectConditions,"('station3', 6)",37.90549122326508,49.84,648.08
PerfectConditions,"('station3', 7)",37.43356563198172,49.88,748.08
PerfectConditions,"('station3', 8)",37.78726992935704,49.96,848.08
PerfectConditions,"('station3', 9)",37.574802927685866,49.92,948.08
PerfectConditions,"('station3', 10)",37.97728151010515,49.92,1048.08
PerfectConditions,"('station3', 11)",37.57164941262177,49.96,1148.08
PerfectConditions,"('station3', 12)",37.714822165226344,49.72,1248.08
PerfectConditions,"('station3', 13)",37.93529412272987,49.72,1348.08
PerfectConditions,"('station3', 14)",37.76780264857066,49.68,1448.08
PerfectConditions,"('station3', 15)",37.61737361138975,49.8,1548.08
PerfectConditions,"('station3', 16)",37.73232929089755,49.84,1648.08
PerfectConditions,"('station3', 17)",38.05454522305738,49.92,1748.08
PerfectConditions,"('station3', 18)",37.892005680363326,49.88,1848.08
PerfectConditions,"('station3', 19)",27.213818283840165,33.44,1948.08
PerfectConditions,"('station2', 0)",39.5873975190076,48,56.28
PerfectConditions,"('station2', 1)",41.624229851940775,50.04,156.28
PerfectConditions,"('station2', 2)",41.40128659463786,50,256.28
PerfectConditions,"('station2', 3)",41.69924218302705,50,356.28
PerfectConditions,"('station2', 4)",41.50436728845384,49.92,456.28
PerfectConditions,"('station2', 5)",41.2684738233755,49.88,556.28
PerfectConditions,"('station2', 6)",41.826687011040086,49.88,656.28
PerfectConditions,"('station2', 7)",41.97456708264753,50.08,756.28
PerfectConditions,"('station2', 8)",41.67346876219407,50,856.28
PerfectConditions,"('station2', 9)",41.695468825038596,49.88,956.28
PerfectConditions,"('station2', 10)",41.88474774749563,49.88,1056.28
PerfectConditions,"('station2', 11)",41.604779505376676,49.8,1156.28
PerfectConditions,"('station2', 12)",41.6045873489863,49.68,1256.28
PerfectConditions,"('station2', 13)",42.089326136369635,49.64,1356.28
PerfectConditions,"('station2', 14)",41.95137982081298,49.68,1456.28
PerfectConditions,"('station2', 15)",42.06159324325507,49.84,1556.28
PerfectConditions,"('station2', 16)",41.804013391160034,49.84,1656.28
PerfectConditions,"('station2', 17)",41.759721397362256,49.84,1756.28
PerfectConditions,"('station2', 18)",41.7970064907445,49.76,1856.28
PerfectConditions,"('station2', 19)",24.048284344995565,25.96,1956.28
PerfectConditions,"('station4', 0)",40.96348523409364,48.04,51.72
PerfectConditions,"('station4', 1)",43.08976742697079,49.96,151.72
PerfectConditions,"('station4', 2)",43.08138007202881,49.92,251.72
PerfectConditions,"('station4', 3)",43.262177277261145,49.92,351.72
PerfectConditions,"('station4', 4)",43.17888455401801,49.84,451.72
PerfectConditions,"('station4', 5)",43.2532603454475,49.8,551.72
PerfectConditions,"('station4', 6)",43.51869265388644,49.88,651.72
PerfectConditions,"('station4', 7)",43.703626402181165,49.92,751.72
PerfectConditions,"('station4', 8)",43.54412124269156,49.92,851.72
PerfectConditions,"('station4', 9)",43.30874410791389,49.84,951.72
PerfectConditions,"('station4', 10)",43.550471221951284,49.84,1051.72
PerfectConditions,"('station4', 11)",43.47401178698169,49.72,1151.72
PerfectConditions,"('station4', 12)",43.394814766973056,49.68,1251.72
PerfectConditions,"('station4', 13)",43.23277427630709,49.68,1351.72
PerfectConditions,"('station4', 14)",43.42459961529938,49.6,1451.72
PerfectConditions,"('station4', 15)",43.54077889757198,49.72,1551.72
PerfectConditions,"('station4', 16)",43.37712091050767,49.76,1651.72
PerfectConditions,"('station4', 17)",43.49968206034507,49.84,1751.72
PerfectConditions,"('station4', 18)",43.3975882263476,49.72,1851.72
PerfectConditions,"('station4', 19)",26.913857011741538,27.04,1951.72
PerfectConditions,"('station0', 0)",33.980116846738696,50.04,46.36
PerfectConditions,"('station0', 1)",34.07494645858343,49.96,146.36
