Scenario,Perturbation,Latency,Count,Tick
PerfectConditions,"('station0', 0)",34.928330052020804,50.36,52.0
PerfectConditions,"('station0', 1)",34.94032293532798,50.56,152.0
PerfectConditions,"('station0', 2)",35.28666412718934,50.52,252.0
PerfectConditions,"('station0', 3)",35.14626098747191,50.56,352.0
PerfectConditions,"('station0', 4)",35.119808376296824,50.72,452.0
PerfectConditions,"('station0', 5)",35.09709212433884,50.64,552.0
PerfectConditions,"('station0', 6)",35.05902509757329,50.72,652.0
PerfectConditions,"('station0', 7)",34.96055440808184,50.64,752.0
PerfectConditions,"('station0', 8)",35.23060818311755,50.64,852.0
PerfectConditions,"('station0', 9)",35.37689891523555,50.48,952.0
PerfectConditions,"('station0', 10)",35.53819675356642,50.6,1052.0
PerfectConditions,"('station0', 11)",35.16153904400623,50.56,1152.0
PerfectConditions,"('station0', 12)",35.45137947593276,50.36,1252.0
PerfectConditions,"('station0', 13)",35.28534949520047,50.32,1352.0
PerfectConditions,"('station0', 14)",35.520951021409076,50.44,1452.0
PerfectConditions,"('station0', 15)",35.43914670516744,50.64,1552.0
PerfectConditions,"('station0', 16)",35.312613006579255,50.72,1652.0
PerfectConditions,"('station0', 17)",35.3079697509585,50.8,1752.0
PerfectConditions,"('station0', 18)",35.06938762603802,50.64,1852.0
PerfectConditions,"('station0', 19)",24.34286674413119,33.76,1952.0
Point2Point,"('station0', 0)",30.92,1,44.32
Point2Point,"('station0', 1)",36.84,1,144.28
Point2Point,"('station0', 2)",36.48,1,244.28
Point2Point,"('station0', 3)",40.68,1,344.28
Point2Point,"('station0', 4)",27.64,1,444.28
Point2Point,"('station0', 5)",32.88,1,544.28
Point2Point,"('station0', 6)",41.72,1,644.28
Point2Point,"('station0', 7)",47.12,1,744.28
Point2Point,"('station0', 8)",37.08,0.96,844.28
Point2Point,"('station0', 9)",38.76,1,944.28
Point2Point,"('station0', 10)",32.36,1,1044.28
Point2Point,"('station0', 11)",45.28,1,1144.28
Point2Point,"('station0', 12)",39.04,1,1244.28
Point2Point,"('station0', 13)",36.84,1,1344.28
Point2Point,"('station0', 14)",39.44,1,1444.28
Point2Point,"('station0', 15)",40.2,1,1544.28
Point2Point,"('station0', 16)",41.52,1,1644.28
Point2Point,"('station0', 17)",35.48,0.96,1744.28
Point2Point,"('station0', 18)",37.16,1,1844.28
Point2Point,"('station0', 19)",28.76,0.72,1944.28
Point2Point,"('station0', 20)",0,0,2000.0
RecoveringLoss,"('station0', 0)",129.5036122271754,55.4,42.6
RecoveringLoss,"('station0', 1)",95.44888880795608,53.8,142.6
RecoveringLoss,"('station0', 2)",86.18810331006756,53.88,242.6
RecoveringLoss,"('station0', 3)",101.14832319111844,54.44,342.6
RecoveringLoss,"('station0', 4)",98.34269005342205,54.24,442.6
RecoveringLoss,"('station0', 5)",94.23846742519655,53.92,542.6
RecoveringLoss,"('station0', 6)",92.57678469179628,53.52,642.6
RecoveringLoss,"('station0', 7)",87.3763854166516,53.16,742.6
RecoveringLoss,"('station0', 8)",90.75107651357176,52.88,842.6
RecoveringLoss,"('station0', 9)",68.71315866658205,51.44,942.6
RecoveringLoss,"('station0', 10)",39.90732516971382,49.92,1042.6
RecoveringLoss,"('station0', 11)",38.49892249072755,49.88,1142.6
RecoveringLoss,"('station0', 12)",38.41652736273515,49.8,1242.6
RecoveringLoss,"('station0', 13)",38.29907385848202,50.04,1342.6
RecoveringLoss,"('station0', 14)",38.48867351306681,49.92,1442.6
RecoveringLoss,"('station0', 15)",38.500541931935985,49.8,1542.6
RecoveringLoss,"('station0', 16)",38.66143052815565,49.64,1642.6
RecoveringLoss,"('station0', 17)",38.65070360534056,49.72,1742.6
RecoveringLoss,"('station0', 18)",38.43351693260794,49.56,1842.6
RecoveringLoss,"('station0', 19)",27.438488597680426,34.64,1942.6
PrivacyPreserving,"('station0', 0)",35.56,1,41.72
PrivacyPreserving,"('station0', 1)",32.4,1,141.72
PrivacyPreserving,"('station0', 2)",38.44,1,241.72
