Scenario,Perturbation,Latency,Count,Tick
RecoveringLoss,"('station0', 0)",33.6904,50,46.4
RecoveringLoss,"('station0', 1)",35.004,50,146.4
RecoveringLoss,"('station0', 2)",37.8768,50,246.4
RecoveringLoss,"('station0', 3)",38.05520000000002,50,346.4
RecoveringLoss,"('station0', 4)",38.02000000000001,50,446.4
RecoveringLoss,"('station0', 5)",37.89999999999996,50,546.4
RecoveringLoss,"('station0', 6)",38.01999999999996,50,646.4
RecoveringLoss,"('station0', 7)",38.139999999999965,50,746.4
RecoveringLoss,"('station0', 8)",38.099999999999966,50,846.4
RecoveringLoss,"('station0', 9)",37.97999999999996,50,946.4
RecoveringLoss,"('station0', 10)",38.01999999999996,50,1046.4
RecoveringLoss,"('station0', 11)",38.179999999999964,50,1146.4
RecoveringLoss,"('station0', 12)",38.139999999999965,50,1246.4
RecoveringLoss,"('station0', 13)",38.01999999999996,50,1346.4
RecoveringLoss,"('station0', 14)",38.179999999999964,50,1446.4
RecoveringLoss,"('station0', 15)",38.25999999999996,50,1546.4
RecoveringLoss,"('station0', 16)",38.01999999999996,50,1646.4
RecoveringLoss,"('station0', 17)",38.01999999999996,50,1746.4
RecoveringLoss,"('station0', 18)",38.099999999999966,50,1846.4
RecoveringLoss,"('station0', 19)",25.613156117030147,33.52,1946.4
Point2Point,"('station0', 0)",28.76,1,44.08
Point2Point,"('station0', 1)",34.72,1,144.08
Point2Point,"('station0', 2)",43.8,1,244.08
Point2Point,"('station0', 3)",36.12,1,344.08
Point2Point,"('station0', 4)",38.92,1,444.08
Point2Point,"('station0', 5)",35.36,1,544.08
Point2Point,"('station0', 6)",38.12,1,644.08
Point2Point,"('station0', 7)",41.76,1,744.08
Point2Point,"('station0', 8)",31.76,1,844.08
Point2Point,"('station0', 9)",34.64,1,944.08
Point2Point,"('station0', 10)",28.84,1,1044.08
Point2Point,"('station0', 11)",31.68,1,1144.08
Point2Point,"('station0', 12)",35.04,1,1244.08
Point2Point,"('station0', 13)",36.28,1,1344.08
Point2Point,"('station0', 14)",42.12,1,1444.08
Point2Point,"('station0', 15)",40.88,1,1544.08
Point2Point,"('station0', 16)",42.2,1,1644.08
Point2Point,"('station0', 17)",41.72,1,1744.08
Point2Point,"('station0', 18)",30.48,1,1844.08
Point2Point,"('station0', 19)",24.08,0.76,1944.08
PrivacyPreserving,"('station0', 0)",28.76,1,41.84
PrivacyPreserving,"('station0', 1)",36.44,1,141.84
PrivacyPreserving,"('station0', 2)",37.52,1,241.84
PrivacyPreserving,"('station0', 3)",43.56,1,341.84
PrivacyPreserving,"('station0', 4)",38.12,1,441.84
PrivacyPreserving,"('station0', 5)",40.4,1,541.84
PrivacyPreserving,"('station0', 6)",36.64,1,641.84
PrivacyPreserving,"('station0', 7)",36.44,1,741.84
PrivacyPreserving,"('station0', 8)",42.48,1,841.84
PrivacyPreserving,"('station0', 9)",43.76,1,941.84
PrivacyPreserving,"('station0', 10)",37.88,1,1041.84
PrivacyPreserving,"('station0', 11)",38.8,1,1141.84
PrivacyPreserving,"('station0', 12)",42.2,1,1241.84
PrivacyPreserving,"('station0', 13)",36.72,1,1341.84
PrivacyPreserving,"('station0', 14)",39.68,1,1441.84
PrivacyPreserving,"('station0', 15)",42.08,1,1541.84
