Scenario,Perturbation,Latency,Count,Tick
PerfectConditions,"('station2', 0)",40.289301960784314,47.96,53.16
PerfectConditions,"('station2', 1)",41.37211012404962,49.84,153.16
PerfectConditions,"('station2', 2)",41.33280764305722,49.76,253.16
PerfectConditions,"('station2', 3)",41.36737884941211,49.76,353.16
PerfectConditions,"('station2', 4)",41.63150395791704,49.8,453.16
PerfectConditions,"('station2', 5)",41.74359784162437,49.84,553.16
PerfectConditions,"('station2', 6)",41.716535936862485,49.84,653.16
PerfectConditions,"('station2', 7)",41.72052556783824,50,753.16
PerfectConditions,"('station2', 8)",41.64305750862615,50.04,853.16
PerfectConditions,"('station2', 9)",41.417907571496,50.12,953.16
PerfectConditions,"('station2', 10)",41.48394693243631,50.12,1053.16
PerfectConditions,"('station2', 11)",41.44148105981731,49.92,1153.16
PerfectConditions,"('station2', 12)",41.53674128095359,50.04,1253.16
PerfectConditions,"('station2', 13)",41.81000183185029,50.08,1353.16
PerfectConditions,"('station2', 14)",41.907879135921405,50.16,1453.16
PerfectConditions,"('station2', 15)",41.69419376714401,50.2,1553.16
PerfectConditions,"('station2', 16)",41.70698734628829,50.28,1653.16
PerfectConditions,"('station2', 17)",41.68710035181948,50.48,1753.16
PerfectConditions,"('station2', 18)",41.49966455079373,50.44,1853.16
PerfectConditions,"('station2', 19)",23.95232331082452,26.88,1953.16
PerfectConditions,"('station4', 0)",36.58446706682673,42.04,42.92
PerfectConditions,"('station4', 1)",43.77748157986599,49.56,142.88
PerfectConditions,"('station4', 2)",43.80128053944983,49.48,242.88
PerfectConditions,"('station4', 3)",44.013263372583076,49.44,342.88
PerfectConditions,"('station4', 4)",42.12363670653205,47.52,442.88
PerfectConditions,"('station4', 5)",42.24762771832136,47.48,542.88
PerfectConditions,"('station4', 6)",42.55834937647726,47.48,642.88
PerfectConditions,"('station4', 7)",44.228219066762684,49.44,742.88
PerfectConditions,"('station4', 8)",44.24652585862311,49.44,842.88
PerfectConditions,"('station4', 9)",44.253652448894215,49.64,942.88
PerfectConditions,"('station4', 10)",43.81083786303082,49.12,1042.88
PerfectConditions,"('station4', 11)",44.066481192060564,49.28,1142.88
PerfectConditions,"('station4', 12)",43.24386585533944,48.68,1242.88
PerfectConditions,"('station4', 13)",44.22063253020491,49.56,1342.88
PerfectConditions,"('station4', 14)",44.37608955841532,49.68,1442.88
PerfectConditions,"('station4', 15)",44.05891070823908,49.76,1542.88
PerfectConditions,"('station4', 16)",44.3774078139609,49.84,1642.88
PerfectConditions,"('station4', 17)",44.43995551284047,49.96,1742.88
PerfectConditions,"('station4', 18)",44.116493427291545,49.96,1842.88
PerfectConditions,"('station4', 19)",30.723503265022465,32.72,1942.88
PerfectConditions,"('station3', 0)",37.462448019207685,49.92,51.92
PerfectConditions,"('station3', 1)",37.54247458983593,49.88,151.92
PerfectConditions,"('station3', 2)",37.30233789515806,49.88,251.92
PerfectConditions,"('station3', 3)",37.584750140056016,49.72,351.92
PerfectConditions,"('station3', 4)",37.74743530335211,49.84,451.92
PerfectConditions,"('station3', 5)",37.61877866531229,49.84,551.92
PerfectConditions,"('station3', 6)",37.77095761381476,49.88,651.92
PerfectConditions,"('station3', 7)",37.63551791532287,49.96,751.92
PerfectConditions,"('station3', 8)",37.7923531952694,50.04,851.92
PerfectConditions,"('station3', 9)",37.71590614405416,50.08,951.92
PerfectConditions,"('station3', 10)",37.77158827141887,50.08,1051.92
PerfectConditions,"('station3', 11)",37.48051192918387,50.04,1151.92
PerfectConditions,"('station3', 12)",37.81762056718188,50.04,1251.92
PerfectConditions,"('station3', 13)",37.745324778677805,50.12,1351.92
PerfectConditions,"('station3', 14)",37.78671593380461,50.2,1451.92
PerfectConditions,"('station3', 15)",37.76910546494359,50.28,1551.92
PerfectConditions,"('station3', 16)",37.71609176134894,50.4,1651.92
PerfectConditions,"('station3', 17)",37.8607883736949,50.44,1751.92
PerfectConditions,"('station3', 18)",37.465465515527285,50.44,1851.92
PerfectConditions,"('station3', 19)",24.539588442105522,30.28,1951.92
PerfectConditions,"('station1', 0)",25.949677470988398,47.88,44.64
PerfectConditions,"('station1', 1)",26.95484113645458,49.92,144.64
PerfectConditions,"('station1', 2)",27.113519647859146,49.88,244.64
PerfectConditions,"('station1', 3)",27.024932212885155,49.76,344.64
PerfectConditions,"('station1', 4)",26.999994422384344,49.76,444.64
PerfectConditions,"('station1', 5)",27.11185347677532,49.84,544.64
PerfectConditions,"('station1', 6)",27.08100442330777,49.84,644.64
PerfectConditions,"('station1', 7)",26.83343874165051,49.92,744.64
PerfectConditions,"('station1', 8)",27.050124510994525,50.04,844.64
PerfectConditions,"('station1', 9)",27.16791428844397,50.08,944.64
PerfectConditions,"('station1', 10)",27.315876722648444,50.16,1044.64
PerfectConditions,"('station1', 11)",27.225847864951493,50.04,1144.64
