Scenario,Perturbation,Latency,Count,Tick
RecoveringLoss,"('station0', 0)",69.2529440451216,51.72,49.48
RecoveringLoss,"('station0', 1)",60.64738697498368,51.28,149.48
RecoveringLoss,"('station0', 2)",56.14836248416477,50.88,249.48
RecoveringLoss,"('station0', 3)",46.44631297232972,50.68,349.48
RecoveringLoss,"('station0', 4)",49.7443242941932,50.92,449.48
RecoveringLoss,"('station0', 5)",53.60165365162821,51.16,549.48
RecoveringLoss,"('station0', 6)",55.785856741150084,51.24,649.48
RecoveringLoss,"('station0', 7)",53.50394538443428,51.16,749.48
RecoveringLoss,"('station0', 8)",51.42080310032444,51.08,849.48
RecoveringLoss,"('station0', 9)",49.419115291763895,50.92,949.48
RecoveringLoss,"('station0', 10)",47.47782819364159,50.76,1049.48
RecoveringLoss,"('station0', 11)",46.70814036813632,50.64,1149.48
RecoveringLoss,"('station0', 12)",46.30775063539503,50.64,1249.48
RecoveringLoss,"('station0', 13)",43.0152456003605,50.32,1349.48
RecoveringLoss,"('station0', 14)",39.6008512964102,49.96,1449.48
RecoveringLoss,"('station0', 15)",38.100316425489964,49.76,1549.48
RecoveringLoss,"('station0', 16)",38.1736398918978,49.72,1649.48
RecoveringLoss,"('station0', 17)",37.99435055914342,49.72,1749.48
RecoveringLoss,"('station0', 18)",37.94984537223577,49.64,1849.48
RecoveringLoss,"('station0', 19)",23.81926976747639,30.72,1949.48
Point2Point,"('station0', 0)",31.8,1,51.28
Point2Point,"('station0', 1)",39.24,1,151.28
Point2Point,"('station0', 2)",35.72,1,251.28
Point2Point,"('station0', 3)",35.08,1,351.28
Point2Point,"('station0', 4)",36.68,1,451.28
Point2Point,"('station0', 5)",40.44,1,551.28
Point2Point,"('station0', 6)",39.48,1,651.28
Point2Point,"('station0', 7)",35.36,1,751.28
Point2Point,"('station0', 8)",37.6,1,851.28
Point2Point,"('station0', 9)",43.92,1,951.28
Point2Point,"('station0', 10)",43.8,1,1051.28
Point2Point,"('station0', 11)",41.24,1,1151.28
Point2Point,"('station0', 12)",41.64,1,1251.28
Point2Point,"('station0', 13)",31.96,1,1351.28
