"run","stopAt","numStations","probNew","probPerturbationDrop","packetSize","transmissionSpeed","numRelays","minNumRelays","randomSeed","maxNumRelays","probCrash","protocolVersion"
73,500,1,5,0,200,100,3,1,123456,5,5,"DynamicNetwork"
75,500,1,5,0,200,100,3,1,123456,5,5,"DynamicNetwork"
77,500,1,5,0,200,100,3,1,123456,5,5,"DynamicNetwork"
79,500,1,5,0,200,100,3,1,123456,5,5,"DynamicNetwork"
81,500,1,5,0,200,100,3,1,123456,5,5,"DynamicNetwork"
83,500,1,5,0,200,100,3,1,123456,5,5,"DynamicNetwork"
85,500,1,5,0,200,100,3,1,123456,5,5,"DynamicNetwork"
87,500,1,5,0,200,100,3,1,123456,5,5,"DynamicNetwork"
89,500,1,5,0,200,100,3,1,123456,5,5,"DynamicNetwork"
91,500,1,5,0,200,100,3,1,123456,5,5,"DynamicNetwork"
93,500,1,5,0,200,100,3,1,123456,5,5,"DynamicNetwork"
95,500,1,5,0,200,100,3,1,123456,5,5,"DynamicNetwork"
97,500,1,5,0,200,100,3,1,123456,5,5,"DynamicNetwork"
99,500,1,5,0,200,100,3,1,123456,5,5,"DynamicNetwork"
